Mico,,,,,,,
Chispa,,,,,,,
Rayo,,,,,,,
Chiqui,,,,,,,
Plutón,,,,,,,
Chico,,,,,,,
Luna,,,,,,,
Lola,,,,,,,
Coco,,,,,,,
Linda,,,,,,,
Noa,,,,,,,
Nina,,,,,,,
Toby,,,,,,,
Rocky,,,,,,,
Thor,,,,,,,
Simba,,,,,,,
Bruno,,,,,,,
Nico,,,,,,,
Bimba,,,,,,,
Max,,,,,,,
Luna,,,,,,,
Zar,,,,,,,
Kira,,,,,,,
Bruno,,,,,,,
Thor,,,,,,,
Sultán,,,,,,,
Lola,,,,,,,
Sol,,,,,,,
Nala,,,,,,,
Gordo,,,,,,,
Rex,,,,,,,
Grande,,,,,,,
Rocky,,,,,,,
Lobo,,,,,,,
Zeus,,,,,,,
Oso,,,,,,,
Simba,,,,,,,
Zorro,,,,,,,
Coco,,,,,,,
Trufa,,,,,,,
Macarrón,,,,,,,
Cookie,,,,,,,
Mojito,,,,,,,
Moca ,,,,,,,
Oreo,,,,,,,
Donut,,,,,,,
Coco,,,,,,,
Brownie,,,,,,,
Cheddar,,,,,,,
Kinder,,,,,,,
Choco,,,,,,,
Hueso,,,,,,,
Nugget,,,,,,,
Frappe,,,,,,,
Thor,,,,,,,Dama
Hulk,,,,,,,Molly
Thanos,,,,,,,Penny
Rocky,,,,,,,Starsky
Nemo,,,,,,,Indiana
Nala,,,,,,,Scooby
Simba,,,,,,,Copito
Butkus,,,,,,,
Coco,,,,,,,
Max,,,,,,,
Rocco,,,,,,,
Jack,,,,,,,
Beethoven,,,,,,,
Brian,,,,,,,
Golfo,,,,,,,
Hachiko,,,,,,,
Lassie,,,,,,,
Marley,,,,,,,
Milo,,,,,,,
Charlie,,,,,,,
Baloo,,,,,,,
Uggie,,,,,,,
Frank,,,,,,,
Verdell,,,,,,,
Totó,,,,,,,
Slinky,,,,,,,
Dug,,,,,,,
Sam,,,,,,,
Zero,,,,,,,
Fang,,,,,,,
Nana,,,,,,,
Dante,,,,,,,
Golfo,,,,,,,
Reina,,,,,,,
Bolt,,,,,,,
Truman,,,,,,,
Pongo,,,,,,,
Perdita,,,,,,,
Balto,,,,,,,
Casper,,,,,,,
Chucky,,,,,,,
Conan,,,,,,,
Dumbo,,,,,,,
Dino,,,,,,,
Frodo,,,,,,,
Fiona,,,,,,,
Máximo,,,,,,,
Neo,,,,,,,
Spock,,,,,,,
Yago,,,,,,,
Potter,,,,,,,
Luna,,,,,,,
Merlín,,,,,,,
Troya,,,,,,,
Leia,,,,,,,
Luke,,,,,,,
Toby,,,,,,,
Rambo,,,,,,,
Arwen,,,,,,,
Rei,,,,,,,
Akira,,,,,,,
Vader,,,,,,,
Obi Wan,,,,,,,
R2,,,,,,,
Vito,,,,,,,
Electra,,,,,,,
Valentín,,,,,,,
Minnie,,,,,,,
Batman,,,,,,,
Flash,,,,,,,
Raven,,,,,,,
Iron Man,,,,,,,
Thor,,,,,,,
Hulk,,,,,,,
Deadpool,,,,,,,
Venom,,,,,,,
Falcon,,,,,,,
Iceman,,,,,,,
Loki ,,,,,,,
Groot,,,,,,,
Spiderman,,,,,,,
Thanos,,,,,,,
Tokyo,,,,,,,
Denver,,,,,,,
Moscú,,,,,,,
Arturito,,,,,,,
Bogotá,,,,,,,
Río,,,,,,,
Nairobi,,,,,,,
Oslo,,,,,,,
Gandía,,,,,,,
Lisboa,,,,,,,
Berlín,,,,,,,
Helsinki,,,,,,,
Profesor,,,,,,,
Marsella,,,,,,,
Manila,,,,,,,
Simba,,,,,,,
Timón,,,,,,,
Nala,,,,,,,
Pumba,,,,,,,
Scar,,,,,,,
Kiara,,,,,,,
Pluto,,,,,,,
Bambi,,,,,,,
Bethoveen,,,,,,,
Bolt,,,,,,,
Otto,,,,,,,
Dante,,,,,,,
Rufo,,,,,,,
Olaf,,,,,,,
Goofy,,,,,,,
Chita,,,,,,,
Mickey,,,,,,,
Buddy,,,,,,,
Pepper,,,,,,,
Reina,,,,,,,
Toby,,,,,,,
Frozen,,,,,,,
Popeye,,,,,,,
Tarzán,,,,,,,
Alpha,,,,,,,
Oskar,,,,,,,
Percy,,,,,,,
Dixie,,,,,,,
Lucky,,,,,,,
Mowgli ,,,,,,,
